,date_heure,date,heure,effacement_necessaire,total_eolien_offshore,consommation,nucleaire_base,nucleaire_flexible,hydraulique,solaire,eolien_onshore,bioenergies,charbon,gaz,petrole,importations,exportations,soldes_echanges,step_decharge,step_charge,thermique_decharge,thermique_charge,effacement_potentiel_solaire,effacement_potentiel_eolien_onshore,effacemet_potentiel_eolien_offshore,batterie_decharge,batterie_charge,pertes,need,stock_batteries
60,2023-01-03-12,2023-01-03,12:00,-3.637978807091713e-12,21781.375,80837.41500000001,0.0,0.0,10089.383750639337,26617.43231726357,53577.12637544339,1016.9999999999999,0.0,0.0,0.053500000000004565,0.0,13672.047365169186,13672.047365169186,0.0,6400.0,0.0,6400.0,0.0,3.637978807091713e-12,0.0,0.0,0.0,7915.765721034241,-19191.609765121448,1.0
61,2023-01-03-13,2023-01-03,13:00,0.0,22021.625,81467.34,0.0,0.0,9799.39399563657,30378.591186966914,54547.01599757445,1020.0,0.0,0.0,0.005350000000000457,0.0,17398.484490422623,17398.484490422623,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,8243.664182612456,-16526.437125253437,1.0
62,2023-01-03-14,2023-01-03,14:00,0.0,23137.625,79983.825,0.0,0.0,8944.489139215406,25701.252481892134,55183.00920816626,1032.0,0.0,3.9996600000000004,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,0.0,4382.825173659159,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,7980.151468049167,-10782.82517365916,1.0
63,2023-01-03-15,2023-01-03,15:00,0.0,25427.749999999996,78368.775,0.0,0.0,8803.260353833564,18540.584617988767,55781.90279078542,1040.0,0.0,3.9996600000000004,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,0.0,0.0,0.0,6158.481428802581,0.0,0.0,0.0,0.0,0.0,7671.810003382544,-6158.481428802581,1.0
64,2023-01-03-16,2023-01-03,16:00,0.0,28647.875000000004,77222.7,0.0,0.0,8163.023249588443,7835.747645215313,55776.60285537098,1044.0,0.0,3.9996600000000004,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,0.0,0.0,252.85515276012302,0.0,0.0,0.0,0.0,0.0,0.0,7102.972572512233,252.85515276012302,1.0
65,2023-01-03-17,2023-01-03,17:00,-9.094947017729282e-13,30476.875,77605.095,0.0,0.0,8376.749463693734,940.2897174258374,54409.217516655815,1042.0,0.0,3.9996600000000004,30.067000000000004,0.0,17398.484490422623,17398.484490422623,0.0,0.0,6393.76901149151,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,6669.387878844278,6421.8190114915105,1.0
66,2023-01-03-18,2023-01-03,18:00,0.0,30566.0,82198.275,0.0,0.0,10435.865007762151,0.0,54361.51801785427,1066.0,0.0,3.9996600000000004,3.006700000000001,0.0,17398.484490422623,17398.484490422623,0.0,0.0,7768.028133742198,0.0,0.0,0.0,0.0,0.0,0.0,6750.515171793149,7768.028133742198,1.0
67,2023-01-03-19,2023-01-03,19:00,0.0,30112.625,84651.375,0.0,0.0,11915.001041825033,0.0,54329.71832529607,1061.0,0.0,3.9996600000000004,0.3006700000000001,0.0,17398.484490422623,17398.484490422623,0.0,0.0,9303.923086142855,0.0,0.0,0.0,0.0,0.0,0.0,6819.565435698478,9303.923086142855,1.0
68,2023-01-03-20,2023-01-03,20:00,0.0,29698.000000000004,81804.78,0.0,0.0,10417.03450705547,0.0,50895.35513222905,1071.0,0.0,163.98606,0.030067000000000014,0.0,17398.484490422623,17398.484490422623,0.0,0.0,11271.428883030854,0.0,0.0,0.0,0.0,0.0,0.0,6456.427301749916,11420.948883030855,1.0
69,2023-01-03-21,2023-01-03,21:00,0.0,29236.875,76384.65,0.0,0.0,8098.058005104077,0.0,47524.591164135374,1058.0,0.0,323.97246,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,0.0,0.0,13577.009013029932,0.0,0.0,0.0,0.0,0.0,0.0,6035.424651846763,13726.529013029933,1.0
70,2023-01-03-22,2023-01-03,22:00,1.8189894035458565e-12,28795.125,72984.72,0.0,0.0,7722.389468877735,0.0,47005.196772875956,1073.0,0.0,399.966,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,0.0,0.0,11335.343035591693,0.0,0.0,0.0,0.0,0.0,0.0,5947.869286922759,11406.365035591694,1.0
71,2023-01-03-23,2023-01-03,23:00,0.0,28194.500000000004,76118.25,0.0,0.0,8260.94186529588,0.0,46151.90589000576,1080.0,0.0,399.966,0.053500000000000006,0.0,17398.484490422623,17398.484490422623,8000.0,0.0,5880.930062526197,0.0,0.0,0.0,0.0,1432.7210154659024,0.0,5884.283842871116,15313.651077992099,0.9448953455590037
72,2023-01-04-00,2023-01-04,00:00,9.094947017729282e-13,27210.25,74801.79000000001,0.0,0.0,7751.576747981266,0.0,45987.60765194337,1087.0,0.0,399.966,30.067000000000004,0.0,17398.484490422623,17398.484490422623,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,7504.490498492724,0.0,5770.683407994725,15532.540498492725,0.6562610956169759
73,2023-01-04-01,2023-01-04,01:00,0.0,26559.25,69193.515,0.0,0.0,7327.890411890226,0.0,42023.2501167165,1092.0,0.0,399.966,60.08050000000001,0.0,17398.484490422623,17398.484490422623,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,8692.683441675501,0.0,5420.2638370024715,16720.7334416755,0.32192711709099503
