tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
175;0.000139121;0.623963904;0.422394366;0.336775218;-0.000234549;0.5265;2018
176;0.000151091;0.628643048;0.584413146;0.336841409;-0.000234549;0.5235;2018
177;0.000152157;0.625835561;0.565023474;0.312814403;0.005863727;0.5215;2018
178;0.000153173;0.623262032;0.553004695;0.307386815;0.051014425;0.5205;2018
179;0.000153491;0.63098262;0.5257277;0.276409849;0.106016184;0.526;2018
180;0.000154727;0.636597594;0.510704225;0.253044745;0.131582034;0.5215;2018
181;0.00015506;0.635661765;0.500093897;0.231135822;0.154567843;0.5205;2018
182;0.000151291;0.63519385;0.451032864;0.204527403;0.143778586;0.5235;2018
183;0.000146957;0.637299465;0.421643192;0.198106963;0.127125601;0.523;2018
184;0.0001449;0.649699198;0.418309859;0.190164151;0.073413862;0.531;2018
185;0.000145379;0.644084225;0.437276995;0.194731268;0.018177554;0.531;2018
186;0.00015539;0.647593583;0.544131455;0.197776013;-0.000117275;0.5375;2018
187;0.000161509;0.653910428;0.642065728;0.186391316;-0.000117275;0.5305;2018
188;0.000155552;0.655314171;0.548591549;0.191024623;-0.000117275;0.5365;2018
189;0.000145333;0.65203877;0.42657277;0.193936987;-0.000117275;0.543;2018
190;0.000137518;0.657887701;0.409342723;0.183346571;-0.000234549;0.5365;2018
191;0.000142973;0.656016043;0.443051643;0.175072809;-0.000234549;0.5405;2018
192;0.00014062;0.658355615;0.416197183;0.157532433;-0.000234549;0.5445;2018
193;0.000131377;0.648529412;0.394225352;0.134233519;-0.000234549;0.5415;2018
194;0.000128715;0.649465241;0.385868545;0.119274557;-0.000234549;0.5435;2018
195;0.000124267;0.650635027;0.379953052;0.113052687;-0.000234549;0.544;2018
196;0.00012021;0.650635027;0.37370892;0.12139264;-0.000234549;0.546;2018
197;0.000121045;0.648997326;0.396760563;0.125496426;-0.000234549;0.543;2018
198;0.000129031;0.651102941;0.428122066;0.110802224;-0.000234549;0.545;2018
199;0.000144973;0.656483957;0.447042254;0.101006089;-0.000234549;0.538;2018
200;0.000156557;0.66046123;0.562347418;0.099285147;-0.000117275;0.5365;2018
201;0.000156418;0.652740642;0.535070423;0.111662695;0.005863727;0.52;2018
202;0.000155663;0.645254011;0.542816901;0.105308446;0.054415386;0.515;2018
203;0.000156319;0.645020053;0.542769953;0.105440826;0.139556702;0.5185;2018
204;0.000156914;0.647593583;0.531267606;0.120002648;0.187052891;0.5315;2018
205;0.000155648;0.651336898;0.490375587;0.136550172;0.206989563;0.532;2018
206;0.000151943;0.650167112;0.429342723;0.157267673;0.199483992;0.533;2018
207;0.00014781;0.645955882;0.407370892;0.174808049;0.16817169;0.5315;2018
208;0.00014559;0.653442513;0.406666667;0.192679375;0.093115985;0.5365;2018
209;0.00014617;0.654144385;0.428638498;0.211411173;0.01653571;0.539;2018
210;0.000155293;0.667947861;0.493943662;0.248345248;-0.000117275;0.5455;2018
211;0.000161034;0.671457219;0.53;0.277667461;-0.000117275;0.5415;2018
212;0.000155099;0.664438503;0.43;0.306460154;-0.000117275;0.547;2018
213;0.000145123;0.664204545;0.405305164;0.31724914;-0.000117275;0.5485;2018
214;0.000137661;0.665608289;0.397746479;0.307122055;-0.000117275;0.5455;2018
215;0.000142517;0.659057487;0.403192488;0.288390257;-0.000117275;0.5465;2018
216;0.000139817;0.658121658;0.39713615;0.275284617;-0.000117275;0.544;2018
217;0.000129741;0.64361631;0.39314554;0.2700556;-0.000117275;0.546;2018
218;0.000127165;0.643382353;0.407793427;0.275814138;-0.000117275;0.5415;2018
219;0.000122538;0.645254011;0.380093897;0.273762245;-0.000117275;0.5395;2018
220;0.000118274;0.644318182;0.373474178;0.274291766;-0.000117275;0.545;2018
221;0.000119169;0.645955882;0.378591549;0.267407996;-0.000117275;0.5455;2018
222;0.000127066;0.647593583;0.395680751;0.260193275;-0.000117275;0.5435;2018
